Topic Number,Number of Tweets,Percentage of Tweets,Number of Users,Percentage of Users
1,2433,5.86845,1416,19.98589
2,2063,4.976,1024,14.45307
3,2470,5.95769,1564,22.07481
4,2557,6.16754,1039,14.66478
5,1574,3.79652,911,12.85815
6,1351,3.25864,875,12.35004
7,1658,3.99913,1007,14.21313
8,1878,4.52978,1013,14.29781
9,1740,4.19692,1036,14.62244
10,1662,4.00878,1084,15.29993
11,1220,2.94267,879,12.40649
12,1504,3.62768,936,13.21101
13,1192,2.87513,834,11.77135
14,1886,4.54907,1193,16.83839
15,1850,4.46224,1293,18.24982
16,1451,3.49984,919,12.97107
17,1273,3.0705,899,12.68878
18,1387,3.34547,928,13.09809
19,1243,2.99814,854,12.05363
20,1515,3.65421,952,13.43684
21,1574,3.79652,875,12.35004
22,1466,3.53602,792,11.17855
23,1274,3.07292,528,7.45236
24,1466,3.53602,1098,15.49753
25,1772,4.2741,1255,17.71348
